"iso","timeInterval","scenario","biovar","weightedMean"
"PER","1995","current","biovar01",19.1
"PER","1995","current","biovar02",8.4
"PER","1995","current","biovar03",73.9
"PER","1995","current","biovar04",84.1
"PER","1995","current","biovar05",24.4
"PER","1995","current","biovar06",13
"PER","1995","current","biovar07",11.4
"PER","1995","current","biovar08",19.6
"PER","1995","current","biovar09",18.2
"PER","1995","current","biovar10",20
"PER","1995","current","biovar11",17.9
"PER","1995","current","biovar12",2080.1
"PER","1995","current","biovar13",279.6
"PER","1995","current","biovar14",83.9
"PER","1995","current","biovar15",47.7
"PER","1995","current","biovar16",780.9
"PER","1995","current","biovar17",281.9
"PER","1995","current","biovar18",628.8
"PER","1995","current","biovar19",307.8
"PER","2020","rcp45","biovar01",19.7
"PER","2020","rcp45","biovar02",8.4
"PER","2020","rcp45","biovar03",73.8
"PER","2020","rcp45","biovar04",83.8
"PER","2020","rcp45","biovar05",25
"PER","2020","rcp45","biovar06",13.5
"PER","2020","rcp45","biovar07",11.4
"PER","2020","rcp45","biovar08",20.2
"PER","2020","rcp45","biovar09",18.8
"PER","2020","rcp45","biovar10",20.5
"PER","2020","rcp45","biovar11",18.5
"PER","2020","rcp45","biovar12",1865.9
"PER","2020","rcp45","biovar13",277.5
"PER","2020","rcp45","biovar14",63.5
"PER","2020","rcp45","biovar15",53
"PER","2020","rcp45","biovar16",726.3
"PER","2020","rcp45","biovar17",246.5
"PER","2020","rcp45","biovar18",549.7
"PER","2020","rcp45","biovar19",282.1
"PER","2020","rcp85","biovar01",19.7
"PER","2020","rcp85","biovar02",8.4
"PER","2020","rcp85","biovar03",73.9
"PER","2020","rcp85","biovar04",83.4
"PER","2020","rcp85","biovar05",25
"PER","2020","rcp85","biovar06",13.6
"PER","2020","rcp85","biovar07",11.4
"PER","2020","rcp85","biovar08",20.2
"PER","2020","rcp85","biovar09",18.8
"PER","2020","rcp85","biovar10",20.6
"PER","2020","rcp85","biovar11",18.5
"PER","2020","rcp85","biovar12",2065.6
"PER","2020","rcp85","biovar13",318.6
"PER","2020","rcp85","biovar14",68.5
"PER","2020","rcp85","biovar15",53.7
"PER","2020","rcp85","biovar16",801.6
"PER","2020","rcp85","biovar17",266.2
"PER","2020","rcp85","biovar18",640.6
"PER","2020","rcp85","biovar19",298.4
"PER","2030","rcp45","biovar01",19.8
"PER","2030","rcp45","biovar02",8.4
"PER","2030","rcp45","biovar03",73.8
"PER","2030","rcp45","biovar04",83.8
"PER","2030","rcp45","biovar05",25.1
"PER","2030","rcp45","biovar06",13.7
"PER","2030","rcp45","biovar07",11.4
"PER","2030","rcp45","biovar08",20.4
"PER","2030","rcp45","biovar09",18.9
"PER","2030","rcp45","biovar10",20.7
"PER","2030","rcp45","biovar11",18.6
"PER","2030","rcp45","biovar12",1962.5
"PER","2030","rcp45","biovar13",304.6
"PER","2030","rcp45","biovar14",62.6
"PER","2030","rcp45","biovar15",54.3
"PER","2030","rcp45","biovar16",763.7
"PER","2030","rcp45","biovar17",233.3
"PER","2030","rcp45","biovar18",610.8
"PER","2030","rcp45","biovar19",275.5
"PER","2030","rcp85","biovar01",20
"PER","2030","rcp85","biovar02",8.4
"PER","2030","rcp85","biovar03",74
"PER","2030","rcp85","biovar04",83.2
"PER","2030","rcp85","biovar05",25.3
"PER","2030","rcp85","biovar06",13.9
"PER","2030","rcp85","biovar07",11.4
"PER","2030","rcp85","biovar08",20.5
"PER","2030","rcp85","biovar09",19.1
"PER","2030","rcp85","biovar10",20.8
"PER","2030","rcp85","biovar11",18.8
"PER","2030","rcp85","biovar12",2181.8
"PER","2030","rcp85","biovar13",338.5
"PER","2030","rcp85","biovar14",75.1
"PER","2030","rcp85","biovar15",53.3
"PER","2030","rcp85","biovar16",840.7
"PER","2030","rcp85","biovar17",280.5
"PER","2030","rcp85","biovar18",686.7
"PER","2030","rcp85","biovar19",324.6
"PER","2040","rcp45","biovar01",20
"PER","2040","rcp45","biovar02",8.4
"PER","2040","rcp45","biovar03",73.5
"PER","2040","rcp45","biovar04",84.6
"PER","2040","rcp45","biovar05",25.3
"PER","2040","rcp45","biovar06",13.9
"PER","2040","rcp45","biovar07",11.5
"PER","2040","rcp45","biovar08",20.6
"PER","2040","rcp45","biovar09",19.1
"PER","2040","rcp45","biovar10",20.9
"PER","2040","rcp45","biovar11",18.8
"PER","2040","rcp45","biovar12",1967.6
"PER","2040","rcp45","biovar13",335.1
"PER","2040","rcp45","biovar14",60.4
"PER","2040","rcp45","biovar15",56.4
"PER","2040","rcp45","biovar16",785.2
"PER","2040","rcp45","biovar17",233.8
"PER","2040","rcp45","biovar18",652.7
"PER","2040","rcp45","biovar19",262.9
"PER","2040","rcp85","biovar01",20.3
"PER","2040","rcp85","biovar02",8.4
"PER","2040","rcp85","biovar03",73.8
"PER","2040","rcp85","biovar04",83.6
"PER","2040","rcp85","biovar05",25.6
"PER","2040","rcp85","biovar06",14.1
"PER","2040","rcp85","biovar07",11.4
"PER","2040","rcp85","biovar08",20.8
"PER","2040","rcp85","biovar09",19.4
"PER","2040","rcp85","biovar10",21.2
"PER","2040","rcp85","biovar11",19.1
"PER","2040","rcp85","biovar12",2004.5
"PER","2040","rcp85","biovar13",301.1
"PER","2040","rcp85","biovar14",67.7
"PER","2040","rcp85","biovar15",52.2
"PER","2040","rcp85","biovar16",767.8
"PER","2040","rcp85","biovar17",259.6
"PER","2040","rcp85","biovar18",619.3
"PER","2040","rcp85","biovar19",312.8
"PER","2050","rcp45","biovar01",20.2
"PER","2050","rcp45","biovar02",8.4
"PER","2050","rcp45","biovar03",73.9
"PER","2050","rcp45","biovar04",83.6
"PER","2050","rcp45","biovar05",25.5
"PER","2050","rcp45","biovar06",14.1
"PER","2050","rcp45","biovar07",11.4
"PER","2050","rcp45","biovar08",20.8
"PER","2050","rcp45","biovar09",19.3
"PER","2050","rcp45","biovar10",21.1
"PER","2050","rcp45","biovar11",19
"PER","2050","rcp45","biovar12",1850.6
"PER","2050","rcp45","biovar13",320.6
"PER","2050","rcp45","biovar14",60.9
"PER","2050","rcp45","biovar15",57.4
"PER","2050","rcp45","biovar16",750.5
"PER","2050","rcp45","biovar17",225
"PER","2050","rcp45","biovar18",620
"PER","2050","rcp45","biovar19",257.9
"PER","2050","rcp85","biovar01",20.6
"PER","2050","rcp85","biovar02",8.4
"PER","2050","rcp85","biovar03",73.7
"PER","2050","rcp85","biovar04",84.1
"PER","2050","rcp85","biovar05",25.9
"PER","2050","rcp85","biovar06",14.5
"PER","2050","rcp85","biovar07",11.5
"PER","2050","rcp85","biovar08",21.1
"PER","2050","rcp85","biovar09",19.6
"PER","2050","rcp85","biovar10",21.5
"PER","2050","rcp85","biovar11",19.4
"PER","2050","rcp85","biovar12",1603.4
"PER","2050","rcp85","biovar13",253.3
"PER","2050","rcp85","biovar14",48
"PER","2050","rcp85","biovar15",55
"PER","2050","rcp85","biovar16",634.2
"PER","2050","rcp85","biovar17",191.4
"PER","2050","rcp85","biovar18",494.4
"PER","2050","rcp85","biovar19",218.9
