iso;timeInterval;scenario;biovar;weightedMean
TZA;1995;current;biovar01;22.9
TZA;1995;current;biovar02;9.6
TZA;1995;current;biovar03;66.2
TZA;1995;current;biovar04;129.5
TZA;1995;current;biovar05;30.1
TZA;1995;current;biovar06;15.6
TZA;1995;current;biovar07;14.5
TZA;1995;current;biovar08;23.2
TZA;1995;current;biovar09;21.6
TZA;1995;current;biovar10;24.5
TZA;1995;current;biovar11;21.2
TZA;1995;current;biovar12;1049.7
TZA;1995;current;biovar13;208.1
TZA;1995;current;biovar14;6.8
TZA;1995;current;biovar15;85.4
TZA;1995;current;biovar16;543
TZA;1995;current;biovar17;29.3
TZA;1995;current;biovar18;270.6
TZA;1995;current;biovar19;149.7
TZA;2020;rcp45;biovar01;23.5
TZA;2020;rcp45;biovar02;9.4
TZA;2020;rcp45;biovar03;65.1
TZA;2020;rcp45;biovar04;132.7
TZA;2020;rcp45;biovar05;30.7
TZA;2020;rcp45;biovar06;16.2
TZA;2020;rcp45;biovar07;14.5
TZA;2020;rcp45;biovar08;23.9
TZA;2020;rcp45;biovar09;22.2
TZA;2020;rcp45;biovar10;25.1
TZA;2020;rcp45;biovar11;21.8
TZA;2020;rcp45;biovar12;1128.4
TZA;2020;rcp45;biovar13;229.4
TZA;2020;rcp45;biovar14;7.2
TZA;2020;rcp45;biovar15;86.3
TZA;2020;rcp45;biovar16;588.3
TZA;2020;rcp45;biovar17;31.8
TZA;2020;rcp45;biovar18;288.9
TZA;2020;rcp45;biovar19;166.5
TZA;2020;rcp85;biovar01;23.6
TZA;2020;rcp85;biovar02;9.4
TZA;2020;rcp85;biovar03;65.2
TZA;2020;rcp85;biovar04;132.4
TZA;2020;rcp85;biovar05;30.9
TZA;2020;rcp85;biovar06;16.4
TZA;2020;rcp85;biovar07;14.5
TZA;2020;rcp85;biovar08;24
TZA;2020;rcp85;biovar09;22.4
TZA;2020;rcp85;biovar10;25.3
TZA;2020;rcp85;biovar11;21.9
TZA;2020;rcp85;biovar12;1097
TZA;2020;rcp85;biovar13;223
TZA;2020;rcp85;biovar14;6.8
TZA;2020;rcp85;biovar15;86.4
TZA;2020;rcp85;biovar16;571.7
TZA;2020;rcp85;biovar17;30.5
TZA;2020;rcp85;biovar18;285.2
TZA;2020;rcp85;biovar19;160.1
TZA;2030;rcp45;biovar01;23.7
TZA;2030;rcp45;biovar02;9.4
TZA;2030;rcp45;biovar03;65
TZA;2030;rcp45;biovar04;133.3
TZA;2030;rcp45;biovar05;31
TZA;2030;rcp45;biovar06;16.5
TZA;2030;rcp45;biovar07;14.5
TZA;2030;rcp45;biovar08;24.1
TZA;2030;rcp45;biovar09;22.5
TZA;2030;rcp45;biovar10;25.4
TZA;2030;rcp45;biovar11;22
TZA;2030;rcp45;biovar12;1149.8
TZA;2030;rcp45;biovar13;233.8
TZA;2030;rcp45;biovar14;7.7
TZA;2030;rcp45;biovar15;86.6
TZA;2030;rcp45;biovar16;599
TZA;2030;rcp45;biovar17;34
TZA;2030;rcp45;biovar18;297.6
TZA;2030;rcp45;biovar19;163.3
TZA;2030;rcp85;biovar01;23.9
TZA;2030;rcp85;biovar02;9.4
TZA;2030;rcp85;biovar03;64.8
TZA;2030;rcp85;biovar04;133.1
TZA;2030;rcp85;biovar05;31.1
TZA;2030;rcp85;biovar06;16.6
TZA;2030;rcp85;biovar07;14.5
TZA;2030;rcp85;biovar08;24.3
TZA;2030;rcp85;biovar09;22.6
TZA;2030;rcp85;biovar10;25.6
TZA;2030;rcp85;biovar11;22.2
TZA;2030;rcp85;biovar12;1109.7
TZA;2030;rcp85;biovar13;223.8
TZA;2030;rcp85;biovar14;7.4
